年月,類別,博士[筆數],博士,碩士[筆數],碩士,大學[筆數],大學,專科[筆數],專科,高中高職[筆數],高中高職,其他[筆數],其他[金額，新台幣],,,教育程度
106-1,食,175749,241210440,1734697,2305145801,5524658,7520898063,2574924,3516229780,2979229,4256380126,2863294,4255627200,,,博士
106-2,食,154091,173466937,1550037,1737519126,4811273,5522091413,2139733,2352486889,2420453,2858708728,2428575,2993209091,,,碩士
106-3,食,162156,175513100,1643550,1754005944,5294445,5777814159,2383355,2480482017,2739413,3119492155,2853516,3246677051,,,大學
106-4,食,175759,186675890,1771308,1907625385,5709995,6142957064,2617843,2677806409,2991925,3350887807,3115587,3464798701,,,專科
106-5,食,167455,191360014,1704601,1971654989,5482533,6409172052,2412413,2699318243,2796253,3420603871,2827324,3518396326,,,高中高職
106-6,食,153181,176640879,1549517,1750227991,4960369,5732658010,2161035,2439610460,2548785,3106621147,2387104,3102761333,,,
106-7,食,173040,195101527,1797581,1963519616,5698697,6433493612,2481805,2749227550,2911014,3461126007,2671345,3389557344,,,
106-8,食,172928,198734180,1804259,2075307517,5803140,6936238218,2524151,2981150107,2996172,3835323266,2756176,3689384528,,,
106-9,食,160611,185768250,1684108,1923856574,5364565,6434279835,2322655,2767915738,2753553,3563736048,2537337,3437705216,,,
106-10,食,171253,195551671,1791252,2020085125,5641888,6583455214,2392168,2736047128,2782655,3430773967,2622956,3449775786,,,
106-11,食,158722,183795325,1682837,1864647885,5363585,6102117002,2241267,2518299213,2615690,3175141518,2536040,3250236338,,,
106-12,食,176405,215368356,1884545,2221515502,5939580,7007735165,2409775,2795856996,2795075,3452178212,2776065,3631408892,,,
