AGE,LIMIT_BAL
79,440000
26,120000
34,90000
37,50000
57,50000
37,50000
29,5.00E+05
23,1.00E+05
28,140000
35,20000
34,2.00E+05
51,260000
41,630000
30,70000
29,250000
23,50000
24,20000
49,320000
49,360000
29,180000
39,130000
39,120000
26,70000
40,450000
23,90000
23,50000
27,60000
30,50000
47,50000
26,50000
27,230000
33,50000
32,1.00E+05
54,5.00E+05
58,5.00E+05
30,160000
40,280000
22,60000
25,50000
31,280000
33,360000
25,70000
22,10000
37,140000
30,40000
29,210000
22,20000
46,150000
32,380000
24,20000
42,70000
43,1.00E+05
49,310000
25,180000
29,150000
45,5.00E+05
34,180000
34,180000
34,2.00E+05
29,4.00E+05
28,5.00E+05
39,70000
29,50000
46,50000
51,130000
57,2.00E+05
56,10000
30,210000
29,130000
22,20000
31,80000
29,320000
32,2.00E+05
37,290000
32,340000
24,20000
25,50000
45,3.00E+05
22,30000
44,240000
33,470000
26,360000
30,60000
44,4.00E+05
49,50000
33,160000
45,360000
32,160000
35,130000
44,20000
53,2.00E+05
39,280000
27,1.00E+05
37,160000
23,60000
35,90000
43,360000
27,150000
22,50000
38,20000
32,140000
30,380000
63,480000
22,50000
26,60000
24,70000
36,80000
52,350000
38,130000
35,360000
31,330000
47,50000
41,280000
24,1.00E+05
41,50000
24,30000
28,240000
26,80000
34,4.00E+05
38,240000
37,50000
40,450000
48,110000
35,310000
27,20000
23,20000
52,2.00E+05
36,180000
51,50000
55,60000
23,30000
41,240000
34,420000
46,330000
22,30000
34,240000
27,150000
33,210000
51,50000
24,50000
47,240000
28,180000
23,50000
29,170000
29,20000
28,50000
27,170000
34,2.00E+05
23,80000
60,260000
32,140000
25,80000
41,350000
56,280000
26,30000
34,140000
37,2.00E+05
30,2.00E+05
45,210000
57,50000
41,30000
27,50000
47,290000
34,250000
46,60000
27,110000
50,370000
27,1.00E+05
35,90000
22,50000
37,270000
30,3.00E+05
22,50000
24,50000
29,360000
56,130000
30,80000
30,50000
22,20000
29,80000
37,240000
35,80000
47,5.00E+05
24,60000
25,20000
38,1.00E+05
32,360000
47,2.00E+05
34,130000
31,20000
32,310000
27,60000
29,180000
24,180000
36,50000
24,50000
34,150000
22,20000
34,5.00E+05
22,30000
38,180000
31,140000
26,140000
26,120000
48,360000
43,20000
47,1.00E+05
41,210000
24,80000
50,330000
24,220000
38,210000
43,40000
39,30000
27,470000
42,30000
36,240000
36,80000
31,110000
38,310000
40,360000
45,330000
35,3.00E+05
33,320000
37,50000
28,170000
44,350000
37,20000
23,50000
24,20000
24,50000
23,20000
26,50000
34,190000
33,60000
35,80000
27,150000
31,210000
50,240000
41,140000
28,60000
39,50000
27,50000
32,180000
40,30000
40,20000
75,250000
27,1.00E+05
25,330000
46,50000
26,50000
28,30000
26,140000
28,160000
29,4.00E+05
25,50000
48,140000
33,160000
43,1.00E+05
48,220000
29,510000
29,50000
38,160000
37,230000
37,80000
25,150000
23,10000
49,130000
48,40000
27,50000
32,1.00E+05
34,120000
58,260000
33,2.00E+05
28,360000
36,70000
40,460000
26,50000
33,50000
31,250000
27,30000
44,270000
30,180000
28,1.00E+05
32,230000
46,210000
38,210000
46,440000
25,1.00E+05
46,240000
33,280000
22,50000
43,30000
27,10000
29,130000
31,2.00E+05
29,120000
36,210000
36,280000
34,3.00E+05
37,1.00E+05
36,440000
40,50000
25,20000
27,2.00E+05
26,110000
36,5.00E+05
27,3.00E+05
55,30000
27,60000
38,4.00E+05
34,180000
40,20000
49,2.00E+05
27,1.00E+05
23,60000
36,110000
53,260000
46,50000
29,180000
29,110000
27,340000
24,50000
28,230000
32,360000
43,210000
41,220000
34,60000
55,340000
40,150000
37,2.00E+05
40,130000
28,60000
43,4.00E+05
27,20000
28,190000
30,260000
31,140000
31,50000
34,120000
30,240000
36,50000
29,2.00E+05
39,180000
26,180000
29,160000
26,1.00E+05
29,50000
31,140000
26,30000
26,90000
36,2.00E+05
30,380000
43,80000
58,50000
45,180000
26,240000
34,380000
24,110000
34,260000
23,5.00E+05
30,320000
32,50000
40,110000
35,230000
56,330000
61,50000
24,10000
40,3.00E+05
32,20000
36,180000
30,160000
34,90000
54,30000
46,180000
58,30000
43,30000
28,140000
30,210000
31,50000
29,130000
37,50000
36,140000
28,170000
25,80000
42,410000
29,80000
73,80000
43,150000
30,260000
38,350000
39,280000
44,310000
29,140000
51,360000
27,140000
38,1.00E+05
22,50000
30,210000
25,120000
29,240000
42,60000
41,150000
48,30000
29,160000
52,2.00E+05
25,120000
37,5.00E+05
27,320000
31,280000
23,60000
38,2.00E+05
32,230000
27,230000
41,480000
35,50000
31,2.00E+05
30,50000
48,50000
36,260000
24,30000
29,440000
38,230000
38,2.00E+05
30,490000
32,80000
49,20000
31,170000
27,70000
33,210000
25,90000
27,390000
29,110000
36,580000
55,360000
32,270000
27,60000
37,110000
25,50000
23,80000
23,50000
32,1.00E+05
26,30000
27,2.00E+05
44,240000
34,220000
28,160000
53,180000
42,2.00E+05
30,140000
51,380000
53,6.00E+05
37,260000
26,2.00E+05
42,80000
39,40000
39,130000
32,50000
41,230000
48,70000
38,180000
36,80000
26,290000
28,230000
56,170000
59,230000
38,220000
32,230000
38,5.00E+05
41,90000
35,390000
41,4.00E+05
34,180000
38,60000
32,120000
29,60000
44,50000
37,70000
38,5.00E+05
31,2.00E+05
40,250000
26,140000
28,70000
48,90000
43,1.00E+05
31,190000
42,230000
39,320000
36,220000
34,260000
32,90000
43,30000
30,260000
28,170000
28,80000
41,50000
47,2.00E+05
23,20000
49,250000
38,20000
38,30000
35,90000
46,230000
33,130000
53,30000
35,160000
43,5.00E+05
28,180000
30,80000
26,120000
31,130000
35,120000
28,360000
23,50000
23,20000
56,1.00E+05
32,70000
47,50000
22,10000
34,290000
31,30000
27,410000
28,360000
42,140000
32,210000
27,220000
27,20000
45,620000
26,360000
21,20000
23,50000
30,50000
46,10000
50,1.00E+05
26,50000
25,60000
35,440000
44,120000
52,50000
40,110000
38,2.00E+05
28,150000
36,30000
24,1.00E+05
34,360000
31,390000
41,220000
25,160000
28,230000
27,120000
52,1.00E+05
41,190000
56,50000
42,240000
24,40000
47,630000
33,160000
32,110000
29,20000
53,210000
34,270000
52,360000
42,60000
38,360000
45,390000
35,250000
24,90000
28,360000
26,50000
40,270000
29,2.00E+05
23,50000
33,350000
60,160000
49,80000
53,290000
28,270000
31,80000
36,50000
35,30000
28,30000
33,90000
26,160000
53,80000
42,50000
25,20000
43,220000
25,210000
29,130000
31,260000
30,230000
34,160000
35,50000
32,80000
46,110000
43,2.00E+05
29,360000
31,210000
24,80000
36,3.00E+05
43,310000
59,30000
53,170000
28,140000
31,180000
34,50000
36,50000
24,110000
36,450000
34,2.00E+05
43,220000
29,360000
37,50000
23,40000
37,190000
33,150000
37,2.00E+05
56,270000
25,60000
39,2.00E+05
39,150000
28,180000
27,90000
37,360000
24,90000
24,20000
46,70000
39,230000
48,30000
45,2.00E+05
49,1.00E+05
23,50000
25,20000
47,210000
56,110000
44,20000
49,50000
41,50000
40,4.00E+05
31,170000
42,280000
28,130000
32,210000
28,370000
31,30000
39,150000
31,60000
24,80000
44,280000
46,20000
32,270000
26,240000
22,20000
42,450000
33,10000
39,280000
27,290000
28,190000
23,80000
28,280000
33,160000
40,90000
37,140000
22,50000
32,40000
43,130000
27,70000
35,30000
35,1.00E+05
30,20000
34,30000
34,20000
28,1.00E+05
25,30000
41,320000
42,90000
40,190000
28,2.00E+05
31,3.00E+05
56,30000
45,110000
29,230000
35,230000
28,310000
40,320000
47,360000
41,20000
27,170000
40,140000
32,80000
35,150000
27,170000
29,2.00E+05
30,70000
37,320000
29,150000
34,50000
34,90000
41,280000
31,3.00E+05
40,4.00E+05
27,2.00E+05
22,10000
30,50000
22,30000
26,50000
38,50000
46,30000
24,20000
49,20000
49,50000
42,30000
30,360000
42,170000
31,4.00E+05
49,50000
27,160000
33,70000
35,150000
48,80000
22,30000
22,10000
27,180000
47,320000
34,80000
45,10000
39,360000
33,450000
29,330000
29,60000
26,50000
38,2.00E+05
34,120000
37,160000
57,110000
50,70000
28,150000
31,610000
25,110000
25,80000
33,170000
30,110000
51,140000
51,70000
46,260000
38,170000
34,50000
34,3.00E+05
31,150000
25,50000
26,50000
25,90000
26,50000
43,5.00E+05
36,470000
58,230000
26,140000
30,230000
31,420000
24,30000
52,50000
24,140000
35,260000
29,90000
33,240000
35,510000
35,110000
28,210000
40,220000
35,2.00E+05
53,360000
44,260000
33,20000
32,120000
33,50000
26,60000
26,2.00E+05
26,20000
32,50000
31,50000
29,230000
27,50000
28,1.00E+05
42,210000
32,230000
26,5.00E+05
38,370000
35,230000
29,80000
29,60000
51,30000
27,70000
32,410000
40,280000
34,50000
30,1.00E+05
29,230000
22,50000
48,1.00E+05
35,210000
37,4.00E+05
25,20000
44,50000
28,230000
29,220000
36,3.00E+05
23,80000
36,20000
26,190000
37,160000
44,120000
39,7.00E+05
24,140000
29,3.00E+05
33,120000
39,280000
51,70000
24,20000
45,150000
30,60000
51,2.00E+05
24,50000
50,150000
22,20000
27,40000
33,170000
24,50000
37,10000
58,2.00E+05
48,50000
28,320000
24,20000
27,470000
30,230000
23,20000
53,30000
23,80000
55,110000
34,420000
43,5.00E+05
22,80000
31,350000
32,30000
33,110000
39,5.00E+05
38,490000
34,3.00E+05
42,50000
37,150000
57,80000
23,40000
32,30000
37,50000
23,140000
49,50000
25,30000
29,40000
43,1.00E+05
29,130000
27,20000
26,50000
41,260000
52,30000
31,10000
32,2.00E+05
46,30000
35,180000
35,1.00E+05
39,140000
34,290000
52,20000
40,80000
38,5.00E+05
45,180000
40,20000
25,30000
33,150000
27,280000
43,50000
43,20000
30,2.00E+05
49,210000
38,230000
57,50000
55,50000
23,70000
30,310000
30,180000
24,90000
28,390000
34,150000
37,4.00E+05
32,80000
27,320000
37,240000
31,2.00E+05
55,110000
28,170000
51,90000
36,2.00E+05
30,360000
36,140000
25,220000
50,1.00E+05
40,80000
27,30000
30,50000
26,120000
27,50000
27,360000
25,90000
32,5.00E+05
46,140000
45,30000
30,70000
39,2.00E+05
48,350000
32,120000
46,240000
23,90000
33,260000
24,50000
40,110000
24,20000
24,30000
27,180000
46,20000
22,50000
36,180000
34,2.00E+05
24,260000
60,320000
29,160000
32,30000
36,50000
30,50000
29,90000
34,240000
32,180000
32,2.00E+05
25,50000
44,50000
37,330000
24,80000
23,50000
29,360000
37,240000
59,50000
33,470000
51,160000
27,30000
32,80000
42,5.00E+05
39,180000
46,110000
41,160000
30,210000
34,2.00E+05
35,350000
41,250000
43,380000
47,30000
31,2.00E+05
30,30000
24,50000
36,5.00E+05
28,30000
36,220000
27,20000
32,180000
42,3.00E+05
33,130000
39,180000
30,150000
30,140000
22,50000
25,20000
28,180000
26,180000
54,150000
24,70000
29,30000
36,5.00E+05
49,60000
23,50000
43,130000
33,260000
53,380000
25,360000
54,50000
39,50000
44,260000
27,80000
25,360000
29,290000
39,2.00E+05
45,140000
38,360000
23,50000
25,120000
29,1.00E+05
28,2.00E+05
40,90000
36,360000
30,150000
29,140000
36,2.00E+05
37,170000
34,30000
27,80000
31,280000
31,410000
38,450000
36,80000
46,360000
36,130000
26,160000
57,140000
40,240000
45,180000
57,70000
25,150000
37,210000
35,2.00E+05
33,310000
38,180000
31,3.00E+05
41,450000
33,2.00E+05
67,30000
40,4.00E+05
33,170000
31,140000
35,2.00E+05
39,60000
27,60000
23,150000
54,180000
23,50000
24,50000
26,20000
52,230000
42,110000
36,90000
22,20000
23,30000
30,220000
24,140000
42,3.00E+05
49,1.00E+05
31,110000
33,270000
42,30000
41,70000
53,230000
23,20000
33,190000
29,20000
67,80000
33,20000
34,60000
49,50000
56,280000
42,3.00E+05
55,30000
25,270000
30,1.00E+05
43,240000
40,2.00E+05
35,110000
61,230000
44,150000
33,350000
66,360000
40,150000
47,1.00E+05
27,5.00E+05
35,5.00E+05
47,180000
39,4.00E+05
29,1.00E+05
32,10000
30,60000
25,50000
23,80000
43,110000
41,410000
40,260000
35,30000
28,310000
38,70000
31,250000
29,210000
41,360000
31,50000
29,670000
26,130000
42,170000
29,30000
50,110000
46,210000
24,30000
46,260000
28,150000
35,20000
40,380000
41,2.00E+05
47,120000
54,80000
33,30000
29,110000
44,50000
24,90000
33,110000
54,50000
27,60000
37,150000
24,20000
54,140000
34,120000
40,2.00E+05
30,20000
26,50000
41,2.00E+05
29,1.00E+05
38,3.00E+05
35,5.00E+05
52,360000
29,160000
23,50000
34,230000
34,2.00E+05
44,270000
36,50000
28,20000
31,60000
31,50000
41,50000
44,130000
47,230000
25,20000
25,30000
39,2.00E+05
24,140000
35,1.00E+05
32,240000
31,70000
33,360000
30,140000
52,50000
36,210000
30,280000
42,180000
30,150000
47,20000
29,350000
23,130000
39,470000
48,340000
26,80000
33,70000
44,230000
36,180000
39,210000
24,20000
25,140000
52,2.00E+05
59,50000
23,80000
48,30000
28,140000
62,80000
38,220000
32,180000
29,140000
25,180000
35,50000
27,170000
38,50000
24,50000
29,3.00E+05
27,390000
55,90000
