年月,類別,博士[筆數],博士[金額，新台幣],碩士[筆數],碩士[金額，新台幣],大學[筆數],大學[金額，新台幣],專科[筆數],專科[金額，新台幣],高中高職[筆數],高中高職[金額，新台幣],其他[筆數],其他[金額，新台幣]
103年01月,食,137218,225892500,1267451,2017313183,4350898,7105642286,2196467,3450059182,2747387,4531542818,2850282,4873234895
103年02月,食,115531,154194613,1075430,1451993233,3574478,4819367708,1753061,2252504996,2110351,2838759751,2201579,3090355920
103年03月,食,128408,161754767,1198215,1531593742,4072945,5103589629,2031449,2418423011,2499831,3102584633,2582684,3433594870
103年04月,食,123647,153260149,1149160,1448093978,3923784,4851759488,1973405,2313995727,2417549,2974956024,2496101,3240176794
103年05月,食,136717,182178423,1276250,1710231743,4329219,5678098847,2155618,2705888327,2625715,3435914138,2720074,3730580392
103年06月,食,135932,175432122,1268911,1616725815,4297656,5358394094,2163828,2542472366,2636942,3267481913,2719431,3558612071
103年07月,食,148282,186789121,1395025,1731767365,4777174,5831340797,2435201,2883460658,2984326,3733685402,3051581,3952903899
103年08月,食,155919,200305386,1491304,1961613403,5073772,6680280225,2550823,3276871554,3145301,4277512032,3205346,4461362437
103年09月,食,141734,177584746,1321082,1655274648,4491633,5553808180,2249542,2637259729,2716935,3349060033,2836388,3648410650
103年10月,食,141492,174727523,1330490,1677043746,4498328,5480650082,2235304,2573832838,2679691,3214947087,2792960,3535048823
103年11月,食,142661,185689821,1344017,1748661752,4507215,5689729994,2212426,2661945437,2646163,3305061020,2772251,3704185439
103年12月,食,151123,208787375,1433798,1955928235,4850163,6325160133,2373307,2916528950,2842954,3612680366,2981049,4112888983
104年01月,食,156585,223501777,1442928,2011245250,4830656,6624810768,2399538,3198093849,2875731,3986927414,2966472,4359329126
104年02月,食,148292,224342795,1402652,2102517634,4660818,7087514169,2338972,3481077733,2796490,4353814163,2868263,4689800327
104年03月,食,143546,183011952,1357302,1780083570,4508642,5708043785,2216226,2639991490,2618024,3287573799,2745617,3678566159
104年04月,食,146909,181004741,1391139,1730978051,4607244,5615411360,2275316,2629506514,2683360,3266141814,2785200,3609141474
104年05月,食,163692,214566735,1561419,2023864948,5138697,6532636176,2534784,3051472068,2983488,3789883586,3081935,4173639600
104年06月,食,158901,199786046,1499658,1836452356,4998012,5965913257,2504404,2824617100,2944291,3469815284,3015725,3806693340
104年07月,食,168175,207091350,1603736,1940422960,5355976,6322444860,2667117,3012367150,3159691,3735662662,3196986,4034049491
104年08月,食,180478,224938453,1774898,2202674158,5992630,7468841817,3010800,3650287961,3640863,4772578415,3616556,4902041482
104年09月,食,166246,206906168,1599549,2014365258,5339845,6643355903,2627557,3124757589,3099113,3907004469,3192383,4259184479
104年10月,食,167072,206334522,1609708,1992924720,5329216,6418213183,2600724,2942167115,3063306,3627487715,3136180,4004336551
104年11月,食,161159,207282932,1559325,1981055138,5181272,6403458836,2540963,2971477004,2996986,3663282408,3091143,4097366265
104年12月,食,172064,228500382,1683725,2222008952,5570981,7073823407,2698850,3233233764,3148374,3892408170,3253939,4431765279
105年01月,食,184296,270225266,1726542,2445587137,5705130,8109715383,2838970,3980364109,3336519,4870776204,3380195,5272497461
105年02月,食,170267,235251828,1612696,2215206590,5227880,7190731160,2564532,3451791103,2952854,4170214013,3032913,4560112480
105年03月,食,161101,197813819,1562435,1911576888,5122812,6220679757,2419275,2801133953,2820417,3410506735,2986582,3800663894
105年04月,食,168446,207156025,1638936,1989256581,5286661,6352245266,2481187,2856707173,2851354,3415588107,3027415,3844410603
105年05月,食,178868,227131942,1754286,2158309570,5688349,6965414284,2661862,3119370050,3060565,3754562393,3233687,4185903638
105年06月,食,184837,224603956,1793148,2121846146,5870197,6891011100,2828045,3164209072,3266556,3831830404,3405928,4346607136
